"","beta_1","beta_2","beta_3","beta_4"
"Intercept",-0.37152342241837,-0.60434017056116,0.35823563749132,1.12705756493547
"V1",1.50714377352281,-0.114780961505211,1.16309886695496,1.49246252794862
"V2",-0.428561692090578,2.28077684458498,1.74496874018011,0.274265560325814
"V3",0.28864228085066,1.51966820538159,1.65090632103052,1.40943393523075
"V4",0,0,0,0
"V5",0,0,0,0
"V6",0.455889878085244,2.20761831924917,0.803828245666513,-0.252965743702362
"V7",0.446623105004864,1.01973794403464,-0.249026494126716,2.22512580387999
"V8",0,0,0,0
"V9",0,0,0,0
"V10",0,0,0,0
"V11",0,0,0,0
"V12",0,0,0,0
"V13",0,0,0,0
"V14",0,0,0,0
"V15",0,0,0,0
"V16",0,0,0,0
"V17",0,0,0,0
"V18",0,0,0,0
"V19",0,0,0,0
"V20",0,0,0,0
"V21",0,0,0,0
"V22",0,0,0,0
"V23",0,0,0,0
"V24",0,0,0,0
"V25",0,0,0,0
"V26",0,0,0,0
"V27",0,0,0,0
"V28",0,0,0,0
"V29",0,0,0,0
"V30",0,0,0,0
"V31",0,0,0,0
"V32",0,0,0,0
"V33",0,0,0,0
"V34",0,0,0,0
"V35",0,0,0,0
"V36",0,0,0,0
"V37",0,0,0,0
"V38",0,0,0,0
"V39",0,0,0,0
"V40",0,0,0,0
"V41",0,0,0,0
"V42",0,0,0,0
"V43",0,0,0,0
"V44",0,0,0,0
"V45",0,0,0,0
"V46",0,0,0,0
"V47",0,0,0,0
"V48",0,0,0,0
"V49",0,0,0,0
"V50",0,0,0,0
"V51",0,0,0,0
"V52",0,0,0,0
"V53",0,0,0,0
"V54",0,0,0,0
"V55",0,0,0,0
"V56",0,0,0,0
"V57",0,0,0,0
"V58",0,0,0,0
"V59",0,0,0,0
"V60",0,0,0,0
"V61",0,0,0,0
"V62",0,0,0,0
"V63",0,0,0,0
"V64",0,0,0,0
"V65",0,0,0,0
"V66",0,0,0,0
"V67",0,0,0,0
"V68",0,0,0,0
"V69",0,0,0,0
"V70",0,0,0,0
"V71",0,0,0,0
"V72",0,0,0,0
"V73",0,0,0,0
"V74",0,0,0,0
"V75",0,0,0,0
"V76",0,0,0,0
"V77",0,0,0,0
"V78",0,0,0,0
"V79",0,0,0,0
"V80",0,0,0,0
"V81",0,0,0,0
"V82",0,0,0,0
"V83",0,0,0,0
"V84",0,0,0,0
"V85",0,0,0,0
"V86",0,0,0,0
"V87",0,0,0,0
"V88",0,0,0,0
"V89",0,0,0,0
"V90",0,0,0,0
"V91",0,0,0,0
"V92",0,0,0,0
"V93",0,0,0,0
"V94",0,0,0,0
"V95",0,0,0,0
"V96",0,0,0,0
"V97",0,0,0,0
"V98",0,0,0,0
"V99",0,0,0,0
"V100",0,0,0,0
