"","beta_1","beta_2","beta_3","beta_4"
"Intercept",-0.54346993405125,2.28861115523664,2.29235226911075,1.22204523680676
"V1",1.70360267005501,2.07112886100139,0,0
"V2",-0.464208884521684,0.513484826655123,0.549420879918843,1.55640620358025
"V3",0,0,2.14923673847233,0
"V4",2.07356347385458,2.02138669155797,0,-0.100336626463571
"V5",-0.375623427809292,0,1.55429773289709,0.818919844821959
"V6",0,0.590050967159655,0,0.358255696257768
"V7",1.55724838833559,1.59998017903673,0.189568358564114,1.36366672291649
"V8",0,0,0,0
"V9",0,0,0,0
"V10",0,0,0,0
"V11",0,0,0,0
"V12",0,0,0,0
"V13",0,0,0,0
"V14",0,0,0,0
"V15",0,0,0,0
"V16",0,0,0,0
"V17",0,0,0,0
"V18",0,0,0,0
"V19",0,0,0,0
"V20",0,0,0,0
"V21",0,0,0,0
"V22",0,0,0,0
"V23",0,0,0,0
"V24",0,0,0,0
"V25",0,0,0,0
"V26",0,0,0,0
"V27",0,0,0,0
"V28",0,0,0,0
"V29",0,0,0,0
"V30",0,0,0,0
"V31",0,0,0,0
"V32",0,0,0.441505532811013,0
"V33",0,0,0,0
"V34",0,0,0,0
"V35",0,0,0,0
"V36",0,0,0,0
"V37",0,0,0,0
"V38",0,0,0,0
"V39",0,0,0,0
"V40",0,0,0,0
"V41",0,0,0,0
"V42",0,0,0,0
"V43",0,0,0,0
"V44",0,0,0,0
"V45",0,0,0,0
"V46",0,0,0,0
"V47",0,0,0,0
"V48",0,0,0,0
"V49",0,0,0,0
"V50",0,0,0,0
"V51",0,0,0,0
"V52",0,0,0,0
"V53",0,0,0,0
"V54",0,0,0,0
"V55",0,0,0,0
"V56",0,0,0,0
"V57",0,0,0,0
"V58",0,0,0,0
"V59",0,0,0,0
"V60",0,0,0,0
"V61",0,0,0,0
"V62",0,0,0,0
"V63",0,0,0,0
"V64",0,0,0,0
"V65",0,0,0,0
"V66",0,0,0,0
"V67",0,0,0,0
"V68",0,0,0,0
"V69",0,0,0,0
"V70",0,0,0,0
"V71",0,0,0,0
"V72",0,0,0,0
"V73",0,0,0,0
"V74",0,0,0,0
"V75",0,0,0,0
"V76",0,0,0,0
"V77",0,0,0,0
"V78",0,0,0,0
"V79",0,0,0,0
"V80",0,0,0,0
"V81",0,0,0,0
"V82",0,0,0,0
"V83",0,0,0,0
"V84",0,0,0,0
"V85",0,0,0,0
"V86",0,0,0,0
"V87",0,0,0,0
"V88",0,0,0,0
"V89",0,0,0,0
"V90",0,0,0,0
"V91",0,0,0,0
"V92",0,0,0,0
"V93",0,0,0,0
"V94",0,0,0,0
"V95",0,0,0,0
"V96",0,0,0,0
"V97",0,0,0,0
"V98",0,0,0,0
"V99",0,0,0,0
"V100",0,0,0,0
