"","beta_1","beta_2","beta_3","beta_4"
"Intercept",-0.533437599340855,2.29307417821407,2.31055486433409,1.41610778180694
"V1",1.68717936486755,2.06830184843355,-0.0258515447037057,-0.158076708361673
"V2",0,0,0,0
"V3",0.0953086979815754,0.0688472150883815,2.16204917598125,-0.00991221923885912
"V4",2.05719130694268,2.01809488606877,0.0393082767478069,-0.253432757357645
"V5",-0.386592979038471,0.139233619171724,1.55049714259415,0.866452876852551
"V6",0,0,0,0
"V7",1.58324990752852,1.60801568571496,0.205000565819472,1.38765951825189
"V8",0,0,0,0
"V9",0,0,0,0
"V10",0,0,0,0
"V11",0,0,0,0
"V12",0,0,0,0
"V13",0,0,0,0
"V14",0,0,0,0
"V15",0,0,0,0
"V16",0,0,0,0
"V17",0,0,0,0
"V18",0,0,0,0
"V19",0,0,0,0
"V20",0,0,0,0
"V21",0,0,0,0
"V22",0,0,0,0
"V23",0,0,0,0
"V24",0,0,0,0
"V25",0,0,0,0
"V26",0,0,0,0
"V27",0,0,0,0
"V28",0,0,0,0
"V29",0,0,0,0
"V30",0,0,0,0
"V31",0,0,0,0
"V32",0,0,0,0
"V33",0,0,0,0
"V34",0,0,0,0
"V35",0,0,0,0
"V36",0,0,0,0
"V37",0,0,0,0
"V38",0,0,0,0
"V39",0,0,0,0
"V40",0,0,0,0
"V41",0,0,0,0
"V42",0,0,0,0
"V43",0,0,0,0
"V44",0,0,0,0
"V45",0,0,0,0
"V46",0,0,0,0
"V47",0,0,0,0
"V48",0,0,0,0
"V49",0,0,0,0
"V50",0,0,0,0
"V51",0,0,0,0
"V52",0,0,0,0
"V53",0,0,0,0
"V54",0,0,0,0
"V55",0,0,0,0
"V56",0,0,0,0
"V57",0,0,0,0
"V58",0,0,0,0
"V59",0,0,0,0
"V60",0,0,0,0
"V61",0,0,0,0
"V62",0,0,0,0
"V63",0,0,0,0
"V64",0,0,0,0
"V65",0,0,0,0
"V66",0,0,0,0
"V67",0,0,0,0
"V68",0,0,0,0
"V69",0,0,0,0
"V70",0,0,0,0
"V71",0,0,0,0
"V72",0,0,0,0
"V73",0,0,0,0
"V74",0,0,0,0
"V75",0,0,0,0
"V76",0,0,0,0
"V77",0,0,0,0
"V78",0,0,0,0
"V79",0,0,0,0
"V80",0,0,0,0
"V81",0,0,0,0
"V82",0,0,0,0
"V83",0,0,0,0
"V84",0,0,0,0
"V85",0,0,0,0
"V86",0,0,0,0
"V87",0,0,0,0
"V88",0,0,0,0
"V89",0,0,0,0
"V90",0,0,0,0
"V91",0,0,0,0
"V92",0,0,0,0
"V93",0,0,0,0
"V94",0,0,0,0
"V95",0,0,0,0
"V96",0,0,0,0
"V97",0,0,0,0
"V98",0,0,0,0
"V99",0,0,0,0
"V100",0,0,0,0
